Code,City,State_Code, Region, Country
ABE,Aberdeen,WA
ABG,Alburg,VT
ABQ,Albuquerque,NM
ABS,AlburgSprings,VT
ADT,AmistadDam,TX
M,Algoma,WI
ALP,Alpena,MI
AGA,Agana,Guam
AGN,Algonac,MI
AGU,Mayaguez,PR
AKR,Akron,OH
ALB,Albany,NY
ALC,Alcan,AK
AMB,Ambrose,ND
ANA,Anacortes,WA
ANC,Anchorage,AK
AND,Andrade,CA
ANP,AntelopeWells,NM
ANT,Antler,ND
ANZ,Anzaldaus,TX
ARU,Aruba
AST,Astoria,OR
ATB,Ashtabula,OH
ATL,Atlanta,GA
ATW,Appleton,WI
AUS,Austin,TX
AXB,AlexandriaBay,NY
BAL,Baltimore,MD
BAU,Baudette,MN
BAY,Bayfield,WI
BBM,Brownsville,B&MBridge
BCK,Bucksport,ME
BCY,BayCity,MI
BCM,BattleCreekandKalamazooCountyAirport,MI
BEA,Beaumont,TX
BEB,BeebePlain,VT
BEE,BeecherFalls,VT
BEL,Bellingham,WA
BGC,Bridgeport,CT
BGM,Bangor,ME
BHM,BarHarbor,MEFerryTerminal
BIL,Billings,MT
BLA,Blaine,WA
BOA,ElPaso,TXBridgeofAmericas
BOC,BocaGrande,FL
BOO,BoothbayHarbor,ME
BOS,Boston,MA
BRG,Burlington,VT
BRO,Brownsville,TX
BRU,Brunswick,GA
BTM,Butte,MT
BTN,BatonRouge,LA
BUF,Buffalo,NY
BWA,Boundary,WA
BWM,Bridgewater,ME
CAL,Calexico,CA
CAN,CapeCanaveral,FL
CAP,CapeVincent,NY
CHA,CharlotteAmalie,St.Thomas,VI
CBH,Churubusco,IN
CHF,ChiefMountain,MT
CHI,Chicago,IL
CHL,Charleston,SC
CHM,Champlain,NY
CHR,Christiansted,St.Croix,VI
CHT,Chateaugay,NY
CIN,Cincinnati,OH
CLA,Clayton,NY
CLE,Cleveland,OH
CLG,Calgary,AlbertaCanada
CLS,Calais,ME
CLT,Charlotte,NC
CNA,Canaan,VT
CNC,CannonCorners,NY
CNJ,Camden,NJ
COB,CoburnGore,ME
COL,Columbus,NM
COO,CoosBay,OR
COR,CorpusChristi,TX
COW,HQ,WashingtonDC
CRA,CraneLake,MN
CRB,Caribou,ME
CRU,CruzBay,St.John,VI
CSP,Casper,WY
CRY,Carbury,ND
CUT,CutBank,MT
DAL,Dallas,TX
DAC,DaltonCache,AK
DBL,Dublin,Ireland
DCA,Detroit,MI
DCB,Detroit,AmbassadorBridge
DCT,Detroit,WindsorTunnel
DEN,Denver,CO
DER,DelRio,TX
DET,Detroit,MI
DIB,Detroit,MI
DLB,DelBonita,MT
DLR,DelRio,TX
DMA,Detroit,MI
DNA,Donna,TX
DNS,Dunseith,ND
DOU,Douglas,AZ
DSM,DesMoines,IA
DUL,Duluth,MN
DVD,Dover,AFBDE
DVL,Danville,WA
EDA,Edmonton,ABCanada
,SouthTexas,IAPatEdinburg
EGP,EaglePass,TX
ELP,ElPaso,TX
ELY,Ely,MN
ENS,Ensenada,PR
EPI,Eastport,ID
EPM,Eastport,ME
ERC,EastRichford,VT
ERI,Erie,PA
EVE,Everett,WA
FAB,Fabens,TX
FAJ,Fajardo,PR
FAL,FalconDam,TX
FAR,Fargo,ND
FBA,Freeport,Bahamas
FDE,EaglePass,FortDuncanBridge
FER,Ferry,WA
FHK,FortHancock,TX
FPT,Freeport,TX
FRB,Fairbanks,AK
FRE,Fresno,CA
FRI,FridayHarbor,WA
FRK,Frederiksted,St.Croix,VI
FRN,Fernandina,FL
FRT,Fortuna,ND
FTC,FortCovington,NY
FTF,FortFairfield,ME
FTH,FortHancock,NM
FTK,FortKent,ME
FTL,FortLauderdale,FL
FTP,FortPierce,FL
FTM,FortMeyers,FL
FWA,Frontier,WA
GAL,Galveston,TX
GAR,Gary,IN
GEO,Georgetown,SC
GGW,Glasgow,MT
GLO,Gloucester,MA
GLP,Gulfport,MS
GPM,GrandPortage,MN
GRB,GreenBay,WI
GRE,GreatFalls,MT
GRF,GrandForks,ND
GRO,GrosseIsle,MI
GRP,GrandRapids,MIKentCountyIntlAirport
GRR,Greer,SC
GRT,Groton,CT
GSN,SaipanIsland,SaipanIntlArpt,MP,USA
GTW,Brownsville,GatewayBridge
GUL,Gulfport,MS
HAI,Haines,AK
HAL,Halifax,NovaScotia
HAM,Hamilton,Bermuda
HAR,Harrisburg,PA
HEL,Helena,MT
HHW,Honolulu,HI
HID,Hidalgo,TX
HIG,HighgateSprings,VT
HLG,Harlingen,TX
HML,Hamlin,ME
HMM,Hammond,IN
HNN,Hannah,ND
HNS,Hansboro,ND
HOB,Hoboken,NJ
HOM,Homer,AK
HOP,Hopewell,VA
HOU,Houston,TX
HSB,Harrisburg,PA
HTM,Houlton,ME
HUM,Humacao,PR
HVR,WildHorse,MT
HYD,Hyder,AK
IND,LosIndios
INP,Indianapolis,IN
INT,InternationalFalls,MN
ISB,PortIsabel,TX
ISL,IsleRoyale,MI
IVP,Calexico,TruckCrossing
JAC,Jacksonville,FL
JER,JerseyCity,NJ
JKM,Jackman,ME
JOB,Jobos,PR
JUN,Juneau,AK
KAL,Kalispell,MT
KAN,KansasCity,MO
KET,Ketchikan,AK
KEY,KeyWest,FL
KLM,Kalama,WA
KOA,Kona,HI
LAN,Lancaster,MN
LAR,Laredo,TXJuarez-LincolnBridge
LAU,Laurier,WA
LCB,Laredo,ColumbiaBridge
LEB,Lebanon,ME
LEW,Lewiston,NY
LIM,Limestone,ME
LKC,LakeCharles,LA
LLB,LaredoJuarez-LincolnBridge2,TX
LNB,LongBeach,CA
LOI,LosIndios
LON,Longview,WA
LOR,Lorain,OH
LOS,LosAngeles,CA
LOU,Louisville,KY
LSE,LosEbanos,TX
LUB,Lubec,ME
LUK,Lukeville,AZ
LVG,LasVegas,NV
LWT,Laredo,WorldTradeBridge
LYN,Lynden,WA
MAA,AbuDhabiINTL
MAD,Madawaska,ME
MAG,McGuireAFB,NJ
MAI,Maida,ND
MAP,Mariposa,AZ
MAS,Massena,NY
MAY,Mayaguez,PR
MCI,McAllen,TX
MEM,Memphis,TN
MET,MetalineFalls,WA
MGC,MorganCity,LA
MGM,Morgan,MT
MIA,Miami,FL
MIL,Milwaukee,WI
MND,Minot,ND(Int'lAirport)
MNW,Manitowoc,WI
MOB,Mobile,AL
MON,Montreal,Quebec
MOO,Mooers,NY
MOR,MorsesLine,VT
MRC,MarineCity,MI
MRH,MoreheadCity,NC
MRR,Morristown,NY
MRY,Marysville,MI
MSP,Minneapolis/St.Paul(Int'lAirport)
MTH,MarathonARPT,FL
MYR,MyrtleBeach,SC
NAC,Naco,AZ
NAS,Nassau,Bahamas
NEA,NeahBay,WA
NEC,Neche,ND
NEW,Newark,NJ
NIA,NiagaraFalls,NY
NIG,Nighthawk,WA
NIK,Nikiski,AK
NOG,Nogales,AZ
NOL,NewOrleans,LA
NOM,Nome,AK
NOO,Noonan,ND
NOR,Norfolk,VA
NOY,Noyes,MN
NPV,Newport,VT
NRG,Northgate,ND
NRN,Norton,VT
NRT,NorthTroy,VT
NSV,Nashville,TN
NWH,NewHaven,CT
NWL,NewLondon,CT
NWN,NewportNews,VA
NYC,NewYork,NY
NPW,Northport,WA
OAK,Oakland,CA
OGD,Ogdensburg,NY
OKC,OklahomaCity,OK
OLY,Olympia,WA
OMA,Omaha,NE
OPH,Opheim,MT
ORL,Orlando,FL
ORO,Oroville,WA
OSW,Oswego,NY
OTM,OtayMesaPOE,CA
OTT,Ottawa,Canada
PAN,PanamaCity,FL
PAR,PortArthur,TX
PAS,Pascagoula,MS
PAX,PatuxentRiver,MD
PBB,PeaceBridge,NY
PCF,PortCanaveral,FL
PDN,PasodelNorte,ElPaso,TX
PEM,Pembina,ND
PEN,Pensacola,FL
PER,PerthAmboy,NJ
PEV,PortEverglades,FL
PGR,Progreso,TX
PHI,Philadelphia,PA
PHO,Phoenix,AZ
PHR,Pharr,TX
PHU,PortHuron,M
PHY,PacificHighwayPOE,WA
PIB,Paradise,Island,Bahamas
PIE,Piegan,MT
PIN,PineCreek,MN
PIT,Pittsburgh,PA
PIV,PinnaclePOE,VT
PKC,PokerCreek,AK
PNG,PortAngeles,WA
PNH,Pittsburg,NH
POE,PortofElPaso,TX
POM,Portland,ME
PON,Ponce,PR
POO,Portland,OR
POR,Portal,ND
PRC,PrinceRupertBCCanada
PRE,Presidio,TX
PRO,Providence,RI
PSJ,PortSt.Joe,FL
PSM,Portsmouth,NH
PTL,Porthill,ID
PTO,PortTownsend,WA
PTR,PointRoberts,WA
PUT,Put-in-Bay,OH
RAN,Ranier,MN
RAY,Raymond,MT
RBB,NiagaraFalls,RainbowBridge,NY
RBT,RobertsLanding,MI
RCM,Richmond,VA
RDU,Raleigh-Durham,NC
REN,Reno,NV
RIF,Richford,VT
RIO,RioGrandeCity,TX
RIT,Rome,Italy
ROC,Rochester,NY
ROM,Roma,TX
ROO,Roosville,MT
ROS,Roseau,MN
ROU,RousesPoint,NY
SAC,Sacramento,CA
SAG,Saginaw,MI
SAJ,SanJuan,PR
SAR,Sarles,ND
SAS,Sasabe,AZ
SAU,St.Augustine,FL
SAV,Savannah,GA
SBR,SouthBrewer,ME
SCL,St.Clair,MI
SCO,Scobey,MT
SDP,SanDiegoIntl.Airport,CA
SDY,Sandusky,OH
SEA,Seattle,WA
SET,Seattle-Tacoma,WA
SFB,Sanford,FL
SPE,St.Petersburg,FL
SPN,Saipan
SFR,SanFrancisco,CA
SHA,Shannon,Ireland
SHR,Sherwood,ND
SJO,St.John,ND
SKA,Skagway,AK
SLC,SaltLakeCity,UT
SLO,SanLuisObispo,CA
SLU,SanLuis,AZ
SNA,SanAntonio,TX
SND,SanDiego,CA
SNJ,SanJose,CA
SNN,Shannon,Ireland
SPA,St.Pamphile,ME
SPC,SanPedro,CA
SPM,St.Paul,MN
SPO,Spokane,WA
SRL,St.Aurelie,ME
SSB,Sanford,Fl
SSM,SaultSte.Marie,MI
STA,St.Albans,VT
STJ,St.John,USVI
STL,St.Louis,MO
STR,SantaTeresa,NM
STZ,St.Zacharie,ME
SUM,Sumas,WA
SWE,Sweetgrass,MT
SYR,Syracuse,NY
SYS,SanYsidro,CA
TAC,Tacoma,WA
TAM,Tampa,FL
TEC,Tecate,CA
THO,ThousandIslandsBridge,NY
TOL,Toledo,OH
TOR,Toronto,OntarioCanada
TRL,TrailCreek,MT
TRO,TroutRiver,NY
TRV,TravisAFB,CA
TUC,Tucson,AZ
TUR,Turner,MT
VAN,Vancouver,WA
VCB,Vanceboro,ME
VCV,Vancouver,BCCanada
VIB,VeteransInternationalBridge
VIC,Victoria,BC
VNB,VanBuren,ME
WAL,Walhalla,ND
WAR,Warroad,MN
WAS,Washington,DC
WBE,WestBerkshire,VT
WCM,WillowCreek,MT
WHI,Whitetail,MT
WHM,Wildhorse,MT
WHO,Westhope,ND
WHR,WhirlpoolBridge
WHT,Whitlash,MT
WIL,Wilmington,NC
WIN,Winnipeg,SK.Canada
WLL,Wilmington,DE
WRB,WhirlpoolBridge
WND,Williston,ND(Int'lAirport)
WPB,WestPalmBeach,FL
WRA,Wrangell,AK
YAK,Yakima,WA
YOU,Youngstown,NY
YSL,Ysleta,TX
YUI,Yuma,AZ